Emotion,Accuracy
angry,72.06896551724138
calm,66.66666666666666
disgust,56.29370629370629
fear,52.901023890784984
happy,58.42696629213483
neutral,65.25096525096525
sad,60.13289036544851
surprise,87.03703703703704
