epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.7675882577896118,0.9970674514770508,0.7075061798095703,0.6156798005104065
2,0.7535971403121948,0.9898348450660706,0.7205450534820557,0.6173245906829834
3,0.7502144575119019,0.9925938844680786,0.7208974361419678,0.6134868264198303
4,0.7442789673805237,0.9956015348434448,0.718665599822998,0.6123903393745422
5,0.7420223355293274,0.9944249391555786,0.7164337038993835,0.6189693212509155
6,0.7380316257476807,0.9998890161514282,0.7251262664794922,0.6178728342056274
7,0.7337384223937988,0.9987244606018066,0.7218371629714966,0.6195175647735596
8,0.7338741421699524,0.9967660307884216,0.7221896052360535,0.6145833134651184
9,0.7367831468582153,0.9928343296051025,0.7240690588951111,0.6189693212509155
10,0.7343727350234985,0.9930431246757507,0.723716676235199,0.6200658082962036
11,0.7284080982208252,0.9891343116760254,0.7286502718925476,0.6184210777282715
12,0.7213050723075867,0.9935396313667297,0.7265358567237854,0.6162280440330505
13,0.7203284502029419,0.9945571422576904,0.7285328507423401,0.6156798005104065
14,0.7221720218658447,0.9937175512313843,0.7302948236465454,0.6178728342056274
15,0.7173638343811035,0.9907100796699524,0.7304123044013977,0.6178728342056274
16,0.7307989001274109,0.9947640895843506,0.7285328507423401,0.6156798005104065
17,0.7222001552581787,0.9921978116035461,0.729824960231781,0.6156798005104065
18,0.724467933177948,0.9924741983413696,0.7288852334022522,0.6156798005104065
19,0.7216121554374695,0.9920480251312256,0.7238341569900513,0.6156798005104065
20,0.7165639996528625,0.9904508590698242,0.7295900583267212,0.6167762875556946
21,0.7386631369590759,0.9934572577476501,0.7231293320655823,0.6156798005104065
22,0.7152731418609619,0.990862250328064,0.7272406816482544,0.6162280440330505
23,0.7228900790214539,0.9894589781761169,0.7277105450630188,0.6156798005104065
24,0.7211734652519226,0.9926992654800415,0.7338188886642456,0.6184210777282715
25,0.7298522591590881,0.9924004077911377,0.7234817147254944,0.6178728342056274
26,0.7123380303382874,0.993608832359314,0.7317044734954834,0.6173245906829834
